AVI,part,VRS,Part_No,lot,vrs_id,strips,CheckTime(min),OK,NG,ALL,filter rate,visper,AI,size,type,model,Date_Code
20210911,V1-08VP32908RA-NO3-R1,2021/9/12,08VP32908RA,1130.0,[130-B1]_9,230,16.0,6118.0,2270.0,8388.0,0.73,V1,ON,18UM,NO3,R1,
20210911,V1-10VP32907QA-NO3-R1,2021/9/12,10VP32907QA,1133.0,[133-Y4]_4,13,5.0,218.0,206.0,424.0,0.51,V1,ON,18UM,NO3,R1,
20210911,V3-10VPJ5903MA-10UM-NO3-Z1,2021/9/12,10VPJ5903MA,1034.0,[34-R2]_2_P2,154,18.0,2973.0,6606.0,9579.0,0.31,V3,ON,10UM,NO3,Z1,
20210911,V1-10VP32907QA-NO3-R1,2021/9/12,10VP32907QA,1133.0,[133-Y2]_2,229,38.0,3222.0,2921.0,6143.0,0.52,V1,ON,18UM,NO3,R1,
20210911,V1-10VP32907QA-NO3-R1,2021/9/12,10VP32907QA,1133.0,[133-Y7]_7,230,40.0,3742.0,3711.0,7453.0,0.5,V1,ON,18UM,NO3,R1,
20210911,V2-08VP32908RA-NO3-R1,2021/9/12,08VP32908RA,1130.0,[1130-G2]_8,230,29.0,7529.0,5140.0,12669.0,0.59,V2,ON,18UM,NO3,R1,
20210911,V2-08VP32908RA-NO3-R1,2021/9/11,08VP32908RA,1133.0,[1133-R4]_5,230,25.0,6014.0,4678.0,10692.0,0.56,V2,ON,18UM,NO3,R1,
20210911,V3-10VPJ5903MA-10UM-NO3-Z1,2021/9/11,10VPJ5903MA,1034.0,[34-R5]_6_P1,143,15.0,2351.0,4027.0,6378.0,0.37,V3,ON,10UM,NO3,Z1,
20210911,V2-10VP32907QA-NO3-R1,2021/9/12,10VP32907QA,1133.0,[1133-B10]_8,230,40.0,4382.0,4719.0,9101.0,0.48,V2,ON,18UM,NO3,R1,
20210911,V3-08VPJ5905PB-10UM-2X-Z1,2021/9/11,08VPJ5905PB,1050.0,[50-Y4]_3_P1,105,20.0,5902.0,12247.0,18149.0,0.33,V3,ON,10UM,2X,Z1,
